faq_id,question,answer
1,"What is the delivery time?","Delivery usually takes 3-7 business days within the same country."
2,"Is there a warranty?","Yes, all products come with a one-year warranty."
3,"How can I return a product?","You can request a return within 14 days of delivery."
4,"What payment methods are available?","We accept credit cards, cash on delivery, and e-wallets."
5,"Is shipping free?","Shipping is free for orders above $50."
6,"How can I track my order?","You can track your order from your account page."
7,"Are the products original?","Yes, all our products are 100% authentic."
8,"Can I cancel my order?","Yes, you can cancel your order before it is shipped."
9,"Do you support international shipping?","Yes, we offer international shipping with additional fees."
10,"What if I receive a damaged product?","Please contact customer support and we will replace it for free."
11,"Do you have discounts?","Yes, we provide seasonal discounts and special offers."
12,"Do I need an account to purchase?","You can checkout as a guest or create an account for more benefits."
13,"Can I pay in installments?","Yes, some products support installment payments via partner banks."
14,"How can I change my shipping address?","You can change it from your account settings or during checkout."
15,"What is the refund policy?","Refunds are processed within 7 days after we receive the returned item."
16,"Can I contact support by phone?","Yes, our customer service number is available on the Contact Us page."
17,"Are prices inclusive of VAT?","Yes, all prices include VAT."
18,"Can I save products to a wishlist?","Yes, you can add any product to your wishlist."
19,"How do I receive my invoice?","An electronic invoice will be sent to your registered email."
20,"Can I change the payment method after ordering?","Yes, you can change it before the order is shipped."
